epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.69936,2.27407,3.90927,1.88652,0.06352,0.84783,0.38803,0.09408,2.87544,3.3999,2.44362,0.00031,0.00031,0.06931
2,9.91561,1.96612,2.56896,1.60472,0.04434,0.9058,0.56622,0.20329,2.27085,2.86666,1.91587,0.000623763,0.000623763,0.0376238
3,13.9996,1.94455,2.06476,1.63552,0.8495,0.4913,0.69469,0.27494,2.19305,2.0135,1.87053,0.00093119,0.00093119,0.00593119
4,18.1186,1.85515,1.79274,1.53789,0.86482,0.7029,0.81464,0.32151,2.05963,1.38006,1.73057,0.0009703,0.0009703,0.0009703
5,22.2073,1.79807,1.61662,1.5374,0.83598,0.81084,0.82448,0.30883,2.13599,1.38428,1.75771,0.0009604,0.0009604,0.0009604
6,26.7112,1.74231,1.60395,1.48801,0.85885,0.80435,0.86934,0.35423,2.01602,1.41178,1.68624,0.0009505,0.0009505,0.0009505
7,31.1066,1.76364,1.56223,1.46213,0.69542,0.67138,0.75822,0.31363,2.07485,1.40331,1.69738,0.0009406,0.0009406,0.0009406
8,35.4263,1.73167,1.55831,1.47676,0.7909,0.8568,0.87746,0.377,2.01938,1.26342,1.64912,0.0009307,0.0009307,0.0009307
9,39.81,1.69966,1.47002,1.47614,0.90012,0.83622,0.90591,0.41555,1.98658,1.19549,1.62654,0.0009208,0.0009208,0.0009208
10,44.072,1.68193,1.41751,1.43364,0.93591,0.84363,0.92837,0.45664,1.77812,1.21726,1.52386,0.0009109,0.0009109,0.0009109
11,48.2939,1.61108,1.31479,1.39309,0.96371,0.88397,0.93672,0.4581,1.87729,1.10444,1.55805,0.000901,0.000901,0.000901
12,52.6588,1.65187,1.35426,1.43952,0.93301,0.92029,0.94419,0.42695,2.00074,1.07936,1.64605,0.0008911,0.0008911,0.0008911
13,56.9135,1.60985,1.33187,1.42206,0.99747,0.90292,0.96813,0.46263,1.86581,0.99742,1.56916,0.0008812,0.0008812,0.0008812
14,61.2463,1.63796,1.30738,1.43549,0.8575,0.82853,0.84523,0.2778,2.40452,1.25742,1.91214,0.0008713,0.0008713,0.0008713
15,65.8887,1.60414,1.26804,1.38894,0.95619,0.91023,0.94461,0.43442,1.96616,1.03648,1.62263,0.0008614,0.0008614,0.0008614
16,70.6188,1.57484,1.23378,1.39929,0.95668,0.88365,0.94523,0.44764,1.94684,0.97754,1.60516,0.0008515,0.0008515,0.0008515
17,75.381,1.62793,1.29266,1.44158,0.93754,0.88446,0.92284,0.34345,2.08602,1.18629,1.70771,0.0008416,0.0008416,0.0008416
18,79.9802,1.60872,1.28533,1.38867,0.95411,0.83148,0.92548,0.48306,1.70558,1.0656,1.47572,0.0008317,0.0008317,0.0008317
19,84.4966,1.62325,1.24266,1.39856,0.95526,0.85839,0.93526,0.4373,1.971,1.02784,1.64852,0.0008218,0.0008218,0.0008218
20,89.1633,1.57561,1.25641,1.37743,0.93892,0.90496,0.95513,0.45484,1.90862,0.96967,1.59707,0.0008119,0.0008119,0.0008119
21,93.7794,1.59457,1.20553,1.407,0.95483,0.92724,0.96375,0.5038,1.69459,0.91684,1.47201,0.000802,0.000802,0.000802
22,98.5109,1.57629,1.15159,1.38995,0.94082,0.94412,0.95715,0.4579,1.86664,0.95451,1.56483,0.0007921,0.0007921,0.0007921
23,103.215,1.57054,1.17543,1.3942,0.91225,0.87767,0.93706,0.48411,1.67479,0.9937,1.43504,0.0007822,0.0007822,0.0007822
24,108.306,1.57627,1.18643,1.36794,0.97078,0.91169,0.95991,0.45415,1.858,0.93754,1.55853,0.0007723,0.0007723,0.0007723
25,113.144,1.57176,1.23407,1.35696,0.89643,0.86964,0.93353,0.47489,1.67997,0.98312,1.46625,0.0007624,0.0007624,0.0007624
26,118.659,1.4777,1.17221,1.32711,0.95343,0.93439,0.94812,0.44203,1.8294,0.94137,1.55336,0.0007525,0.0007525,0.0007525
27,124,1.49737,1.12965,1.35498,0.97353,0.9088,0.94619,0.47729,1.7501,0.91055,1.51086,0.0007426,0.0007426,0.0007426
28,128.882,1.51031,1.09891,1.36675,0.92807,0.91252,0.95522,0.48626,1.7692,1.00092,1.53011,0.0007327,0.0007327,0.0007327
