epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.37962,2.63851,3.71763,2.16024,0.00402,0.19983,0.01055,0.00214,3.71186,3.91966,3.13462,0.000324561,0.000324561,0.0678684
2,12.9095,2.37975,2.98812,1.94261,0.02398,0.23384,0.01972,0.00315,4.13621,3.48194,3.45826,0.000651382,0.000651382,0.0348619
3,18.4694,2.28966,2.53655,1.90402,0.08824,0.0699,0.02739,0.00571,4.10741,3.0408,3.30884,0.000971602,0.000971602,0.00184879
4,24.1053,2.29174,2.47626,1.87567,0.17244,0.18367,0.10106,0.02786,3.29618,2.66948,2.61211,0.0009703,0.0009703,0.0009703
5,29.7092,2.14723,2.33851,1.78203,0.20738,0.22658,0.11425,0.03097,3.02154,2.65946,2.40525,0.0009604,0.0009604,0.0009604
6,35.4686,2.13489,2.28689,1.79697,0.26854,0.22701,0.12517,0.04289,2.63413,2.62578,2.08393,0.0009505,0.0009505,0.0009505
7,41.2611,2.13116,2.22696,1.76718,0.23174,0.25815,0.17541,0.06004,2.58788,2.75708,2.05626,0.0009406,0.0009406,0.0009406
8,47.1159,2.06234,2.14905,1.73829,0.25837,0.27082,0.17894,0.06772,2.57672,2.52772,2.08749,0.0009307,0.0009307,0.0009307
9,53.1871,1.99171,2.04784,1.71266,0.28261,0.2483,0.175,0.06365,2.61644,2.44715,2.10526,0.0009208,0.0009208,0.0009208
10,59.0036,2.04805,2.05129,1.75285,0.34952,0.24696,0.17167,0.04771,2.88436,2.4366,2.25407,0.0009109,0.0009109,0.0009109
11,64.8359,1.98285,2.01708,1.7186,0.47262,0.27079,0.22074,0.07669,2.58378,2.39113,2.05029,0.000901,0.000901,0.000901
12,70.6131,1.98221,2.01113,1.72301,0.35408,0.28061,0.2031,0.07234,2.63785,2.38119,2.04907,0.0008911,0.0008911,0.0008911
13,76.4468,1.93953,1.9271,1.67793,0.32772,0.30693,0.21869,0.08178,2.53825,2.44982,2.01804,0.0008812,0.0008812,0.0008812
